match_id,season,date,match_no,venue,city,team1,team2,toss_winner,toss_decision,innings1_score,innings1_wickets,innings2_score,innings2_wickets,winning_team,margin,won_by,player_of_the_match,team1_players,team2_players,umpire1,umpire2,umpire3
202401,2024,22-03-2024,1,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,RCB,CSK,RCB,bat,173,6,176,4,CSK,6,wickets,Mustafizur Rahman,"V Kohli, F du Plessis, RM Patidar, GJ Maxwell, C Green, Anuj Rawat, KD Karthik, KV Sharma, AS Joseph, Mayank Dagar, Mohammed Siraj, Yash Dayal","RD Gaikwad, R Ravindra, AM Rahane, DJ Mitchell, S Dube, RA Jadeja, Sameer Rizvi, MS Dhoni, DL Chahar, M Theekshana, TU Deshpande, Mustafizur Rahman",HAS Khalid,VK Sharma,Nitin Menon
202402,2024,23-03-2024,2,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,DC,PBKS,PBKS,field,174,9,177,6,PBKS,4,wickets,SM Curran,"DA Warner, MR Marsh, SD Hope, RR Pant, RK Bhui, T Stubbs, AR Patel, Sumit Kumar, Abishek Porel, Kuldeep Yadav, KK Ahmed, I Sharma","Arshdeep Singh, S Dhawan, JM Bairstow, P Simran Singh, SM Curran, JM Sharma, LS Livingstone, Shashank Singh, Harpreet Brar, HV Patel, K Rabada, RD Chahar",J Madanagopal,NA Patwardhan,AG Wharf
202403,2024,23-03-2024,3,"Eden Gardens, Kolkata",Kolkata,KKR,SRH,SRH,field,208,7,204,7,KKR,4,runs,AD Russell,"Suyash Sharma, PD Salt, SP Narine, VR Iyer, SS Iyer, N Rana, Ramandeep Singh, RK Singh, AD Russell, MA Starc, Harshit Rana, CV Varun","T Natarajan, MA Agarwal, Abhishek Sharma, RA Tripathi, AK Markram, H Klaasen, Abdul Samad, Shahbaz Ahmed, M Jansen, PJ Cummins, B Kumar, M Markande",R Pandit,YC Barde,BNJ Oxenford
202404,2024,24-03-2024,4,"Sawai Mansingh Stadium, Jaipur",Jaipur,RR,LSG,RR,bat,193,4,173,6,RR,20,runs,SV Samson,"YBK Jaiswal, JC Buttler, SV Samson, R Parag, SO Hetmyer, Dhruv Jurel, R Ashwin, Sandeep Sharma, YS Chahal, Avesh Khan, TA Boult, N Burger","Q de Kock, KL Rahul, D Padikkal, A Badoni, DJ Hooda, N Pooran, MP Stoinis, KH Pandya, Ravi Bishnoi, Mohsin Khan, Naveen-ul-Haq, Yash Thakur",A Totre,HDPK Dharmasena,KN Ananthapadmanabhan
202405,2024,24-03-2024,5,"Narendra Modi Stadium, Ahmedabad",Ahmedabad,GT,MI,MI,field,168,6,162,9,GT,6,runs,B Sai Sudharsan,"MM Sharma, WP Saha, Shubman Gill, B Sai Sudharsan, Azmatullah Omarzai, DA Miller, V Shankar, R Tewatia, Rashid Khan, UT Yadav, R Sai Kishore, SH Johnson","L Wood, Ishan Kishan, RG Sharma, Naman Dhir, D Brevis, Tilak Varma, TH David, HH Pandya, G Coetzee, SZ Mulani, PP Chawla, JJ Bumrah",VA Kulkarni,VK Sharma,Nitin Menon
202406,2024,25-03-2024,6,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,PBKS,RCB,RCB,field,176,6,178,6,RCB,4,wickets,V Kohli,"Arshdeep Singh, S Dhawan, JM Bairstow, P Simran Singh, LS Livingstone, SM Curran, JM Sharma, Shashank Singh, Harpreet Brar, HV Patel, K Rabada, RD Chahar","Yash Dayal, V Kohli, F du Plessis, C Green, RM Patidar, GJ Maxwell, Anuj Rawat, KD Karthik, MK Lomror, AS Joseph, Mayank Dagar, Mohammed Siraj",AK Chaudhary,MV Saidharshan Kumar,BNJ Oxenford
202407,2024,26-03-2024,7,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,CSK,GT,GT,field,206,6,143,8,CSK,63,runs,S Dube,"M Pathirana, RD Gaikwad, R Ravindra, AM Rahane, S Dube, DJ Mitchell, Sameer Rizvi, RA Jadeja, MS Dhoni, DL Chahar, TU Deshpande, Mustafizur Rahman","MM Sharma, WP Saha, Shubman Gill, B Sai Sudharsan, V Shankar, DA Miller, Azmatullah Omarzai, R Tewatia, Rashid Khan, UT Yadav, SH Johnson, R Sai Kishore",AG Wharf,Tapan Sharma,J Madanagopal
202408,2024,27-03-2024,8,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,SRH,MI,MI,field,277,3,246,5,SRH,31,runs,Abhishek Sharma,"Umran Malik, MA Agarwal, TM Head, Abhishek Sharma, AK Markram, H Klaasen, Abdul Samad, Shahbaz Ahmed, PJ Cummins, B Kumar, M Markande, JD Unadkat","KT Maphaka, RG Sharma, Ishan Kishan, Naman Dhir, Tilak Varma, HH Pandya, TH David, R Shepherd, G Coetzee, JJ Bumrah, PP Chawla, SZ Mulani",KN Ananthapadmanabhan,UV Gandhe,HDPK Dharmasena
202409,2024,28-03-2024,9,"Sawai Mansingh Stadium, Jaipur",Jaipur,RR,DC,DC,field,185,5,173,5,RR,12,runs,R Parag,"N Burger, YBK Jaiswal, JC Buttler, SV Samson, R Parag, R Ashwin, Dhruv Jurel, SO Hetmyer, TA Boult, Avesh Khan, Sandeep Sharma, YS Chahal","KK Ahmed, DA Warner, MR Marsh, RK Bhui, RR Pant, T Stubbs, Abishek Porel, AR Patel, Sumit Kumar, Kuldeep Yadav, A Nortje, Mukesh Kumar",A Nand Kishore,Nitin Menon,VK Sharma
202410,2024,29-03-2024,10,"M Chinnaswamy Stadium, Bengaluru",Bengaluru,RCB,KKR,KKR,field,182,6,186,3,KKR,7,wickets,SP Narine,"Vijaykumar Vyshak, V Kohli, F du Plessis, C Green, GJ Maxwell, RM Patidar, Anuj Rawat, KD Karthik, AS Joseph, Mayank Dagar, Mohammed Siraj, Yash Dayal","CV Varun, PD Salt, SP Narine, VR Iyer, SS Iyer, RK Singh, AD Russell, Ramandeep Singh, MA Starc, AS Roy, Harshit Rana, A Raghuvanshi",AK Chaudhary,R Pandit,BNJ Oxenford
